"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column U, V and W)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0"
"1","April 2022",3019024088,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,1484,1484,0,0,"--","--","--","--","--","--","--","--",240,0,160,640,870,640,0,"--",457,707,310,10,650,552,68,5,"n/a",6,182,21,142,1310,32,959,525,0,0,990,455,39,1320,384,1302,578,11,0,2,2,7
"2","April 2022",3019024401,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,890,890,0,0,"--","--","--","--","--","--","--","--",320,480,0,640,160,160,0,"--",94,446,342,8,110,737,7,0,"n/a",1,31,4,27,854,9,512,378,0,0,446,419,25,824,272,874,468,0,0,0,0,0
"3","April 2022",3019024893,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,1215,1215,0,0,"--","--","--","--","--","--","--","--",160,96,0,800,624,160,0,"--",284,610,315,7,59,1062,23,1,"n/a",2,66,3,58,1143,15,620,596,0,0,770,394,51,1115,248,1111,467,32,0,2,15,13
"4","April 2022",3019024897,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,506,506,0,0,"--","--","--","--","--","--","--","--",0,176,0,480,160,160,0,"--",74,209,219,4,50,409,6,0,"n/a",2,35,4,21,480,5,259,247,0,0,262,237,7,492,77,475,194,104,0,4,12,86
"5","April 2022",3019024901,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 2 sites",NA,NA,NA,NA,NA,455,455,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",137,227,86,4,74,331,10,2,"n/a",1,31,5,28,420,6,285,169,0,0,284,160,11,450,157,441,249,12,0,0,2,9
"6","April 2022",3019073000,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,522,522,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,0,0,"--",31,211,269,11,38,464,10,0,"n/a",0,7,3,12,506,4,258,264,0,0,217,297,8,390,68,357,125,199,0,4,7,186
"7","April 2022",3019073690,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,1063,1062,1,0,"--","--","--","--","--","--","--","--",320,640,160,1760,960,800,0,"--",74,428,540,22,75,954,3,0,"n/a",2,27,3,29,1029,6,661,403,0,0,420,626,17,922,244,979,483,163,0,6,27,124
"8","April 2022",3019073940,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,1351,1346,5,0,"--","--","--","--","--","--","--","--",160,496,0,960,640,480,0,"--",205,702,434,9,517,748,8,0,"n/a",3,65,9,57,1280,13,864,486,0,0,764,565,22,1149,313,1301,687,278,0,12,21,221
"9","April 2022",3019074770,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,1121,1121,0,0,"--","--","--","--","--","--","--","--",0,320,0,816,544,320,0,"--",202,548,352,19,452,530,53,1,"n/a",5,76,4,51,1055,15,731,390,0,0,616,483,22,1042,317,1067,545,367,0,10,35,302
"10","April 2022",3019074880,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 3 sites",NA,NA,NA,NA,NA,452,452,0,0,"--","--","--","--","--","--","--","--",0,0,0,240,416,160,0,"--",96,238,116,2,165,179,19,1,"n/a",3,81,4,78,371,3,241,211,0,0,268,177,7,418,121,446,231,105,0,3,8,90
"11","April 2022",3019078330,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,523,523,0,0,"--","--","--","--","--","--","--","--",160,16,0,608,320,0,0,"--",140,278,97,8,124,338,7,1,"n/a",4,43,6,36,479,8,315,208,0,0,339,173,11,511,120,510,238,88,0,1,3,82
"12","April 2022",3019083900,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,1647,1645,2,0,"--","--","--","--","--","--","--","--",336,0,0,1072,1200,160,0,"--",350,685,595,17,256,1080,160,0,"n/a",5,125,21,79,1546,22,925,722,0,0,937,665,45,1522,514,1556,530,455,0,6,20,413
