"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column AB, AC, AD)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Hispanic Patients Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0","Number of Patients with HGB A1C equal 9.0 in unit/month collected"
"1",2022-04-01,"Primary Clinic #1","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1705",1516,152,37,297.5,154,0,1661.53,740.097216083333,169.4,818.8,0,639.56,"Unavailable at UM","Unavailable at UM",3148,"Unavailable at UM",3148,3148,0,331,812,542,20,220,1274,75,"0","1",10,37,14,63,1562,63,73,1698,608,0,"Unavailable at UM",692,1010,7,1208,175,1111,420,455,8,12,37,398,"0"
"2",2022-04-01,"Primary Clinic #2","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","2240",2012,208,20,619.72,0,224.25,1012.8,908.916656916667,168,290.52,0,639.56,"Unavailable at UM","Unavailable at UM",3148,"Unavailable at UM",3148,3148,0,360,1001,850,29,12,2166,14,"0","1",11,13,10,32,2116,32,90,2238,896,0,"Unavailable at UM",902,1322,12,1618,157,1471,671,623,23,24,64,512,"0"
"3",2022-04-01,"Primary Clinic #3","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1519",1378,137,4,170.5,136,28.53,1758.5,613.437492416667,292.25,900.75,0,639.56,"Unavailable at UM","Unavailable at UM",3148,"Unavailable at UM",3148,3148,0,216,725,556,22,154,1171,73,"0","0",7,34,18,36,1438,36,39,1513,643,0,"Unavailable at UM",700,812,3,1221,235,1125,516,455,17,28,52,357,"1"
"4",2022-04-01,"Primary Clinic #4","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1359",1267,81,11,216,96,0.72,445.45,608.833326833333,240,12,0,639.56,"Unavailable at UM","Unavailable at UM",3148,"Unavailable at UM",3148,3148,0,218,647,481,13,128,972,138,"0","0",8,60,17,36,1260,36,60,1358,557,0,"Unavailable at UM",533,803,5,989,128,910,336,372,10,12,36,314,"0"
"5",2022-04-01,"Primary Clinic #5","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1037",930,99,8,296,0,59.04,2298.2,435.86110425,0,0,0,639.56,"Unavailable at UM","Unavailable at UM",3148,"Unavailable at UM",3148,3148,0,255,481,286,15,116,786,60,"0","0",5,22,14,24,983,24,28,1035,363,0,"Unavailable at UM",558,478,1,783,127,729,259,260,7,5,20,228,"0"
"6",2022-04-01,"Primary Clinic #6","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1171",1091,70,10,485.19,168,0,2418,513.861109666667,144.855,1134.35,0,639.56,"Unavailable at UM","Unavailable at UM",3148,"Unavailable at UM",3148,3148,0,341,527,295,8,37,1038,29,"0","1",6,20,7,40,1092,40,31,1166,450,0,"Unavailable at UM",593,557,4,852,136,814,346,295,10,11,24,249,"1"
"7",2022-04-01,"Primary Clinic #7","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1580",1459,110,11,165.83,0,73.49,1003,946.833307333333,465,817.07,0,639.56,"Unavailable at UM","Unavailable at UM",3148,"Unavailable at UM",3148,3148,0,453,605,504,18,266,1116,68,"0","0",8,39,13,69,1481,69,23,1574,741,0,"Unavailable at UM",567,1004,9,1236,240,1150,476,359,20,17,37,285,"0"
"8",2022-04-01,"Primary Clinic #8","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1810",1593,196,21,571.67,324,0,2136,788.124998916667,0,0,0,639.56,"Unavailable at UM","Unavailable at UM",3148,"Unavailable at UM",3148,3148,0,359,779,652,20,81,1579,50,"0","0",8,26,20,56,1613,56,141,1810,752,0,"Unavailable at UM",783,1005,11,1356,197,1255,466,467,6,13,39,409,"0"
"9",2022-04-01,"Primary Clinic #9","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","2377",2233,118,26,502.75,0,431.17,3002,706.152772,159,977.8,0,932.8,"Unavailable at UM","Unavailable at UM",4271.73,"Unavailable at UM",4271.73,4271.73,0,910,1023,438,6,358,1690,109,"0","0",20,68,16,138,2183,138,53,2375,883,0,"Unavailable at UM",1104,1263,35,1598,185,1493,645,548,14,20,27,486,"1"
"10",2022-04-01,"Primary Clinic #10","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","2688",2559,127,2,744.05,480,150.94,4061,934.916649333333,17,2153.6,0,932.8,"Unavailable at UM","Unavailable at UM",4271.73,"Unavailable at UM",4271.73,4271.73,0,691,1130,820,47,73,2540,17,"0","0",17,22,15,53,2551,53,79,2684,1044,2,"Unavailable at UM",1058,1606,16,2139,247,2056,985,512,31,26,58,392,"5"
